release_year,metascore,app_name
2010,56,The Guild II Renaissance
2010,67,Fantasy Wars
2011,77,Mafia II
2010,83,Puzzle Quest 2
2010,72,Burn Zombie Burn!
2010,49,Ship Simulator Extremes
2010,79,Worms Reloaded
2010,38,Making History II: The War of the World
2010,75,Victoria II
2002,60,Cossacks: Back to War
2010,81,VVVVVV
2010,85,Amnesia: The Dark Descent
2010,82,Recettear: An Item Shop's Tale
2010,66,Patrician IV - Steam Special Edition
2010,78,King's Bounty: Crossworlds
2010,90,Sid Meier's Civilization® V
2002,85,Serious Sam Classic: The Second Encounter
2010,52,Blade Kitten
2010,63,Alien Breed 2: Assault
2010,83,Darksiders™
1999,67,X: Beyond the Frontier
2010,71,The Kings' Crusade
2007,79,Guild Wars: Eye of the North®
2010,86,Age of Wonders II: The Wizard's Throne
2010,82,Age of Wonders Shadow Magic
2010,72,Medal of Honor™
2010,65,Grotesque Tactics: Evil Heroes
2010,63,Lost Planet® 2
2010,62,Doc Clock: The Toasted Sandwich of Time
2010,84,Fallout: New Vegas
2010,80,Nimbus
2010,77,DeathSpank
2010,67,Shank
2010,68,The Ball
2010,59,STAR WARS™: The Force Unleashed™ II
2010,75,Patrician III
2010,63,Alternativa
2010,81,Call of Duty®: Black Ops
2010,74,Back to the Future: The Game
2002,93,Grand Theft Auto III
2005,93,Grand Theft Auto: San Andreas
2003,94,Grand Theft Auto: Vice City
2011,72,Zeit²
2011,68,A.R.E.S.: Extinction Agenda
2011,48,APOX
2011,87,Dead Space™ 2
2011,69,Kaptain Brawe: A Brawe New World
2011,82,Monday Night Combat
2009,86,The Sims™ 3
2009,81,The Sims™ 3 World Adventures
2010,74,The Sims™ 3 Late Night
2010,74,The Sims™ 3 Ambitions
2011,76,Who's That Flying?!
2011,76,Two Worlds II HD
2011,71,YOU DON’T KNOW JACK®
2011,72,Test Drive Unlimited 2
2011,65,DUNGEONS - Steam Special Edition
2011,77,RISK™: Factions
2011,70,Homefront
2011,70,Fate of the World
2013,84,RIFT
2011,34,Shadow Harvest: Phantom Ops
2011,80,Anomaly: Warzone Earth
2010,66,Armada 2526
2011,81,Darkest Hour: A Hearts of Iron Game
2011,53,Dino D-Day
2011,67,Patrician IV: Rise of a Dynasty
2011,95,Portal 2
2011,70,Sanctum
2011,85,Frozen Synapse
2011,61,Hunted: The Demon’s Forge™
2011,77,Hamilton's Great Adventure
2011,70,The Sims™ 3 Generations
2011,43,Ghostbusters: Sanctum of Slime Challenge Pack DLC
2009,67,Still Life 2
2005,75,Still Life
2011,72,Dungeon Siege III
2011,54,Duke Nukem Forever
2009,72,Champions Online
2011,64,Spiral Knights
2011,77,Magic: The Gathering - Duels of the Planeswalkers 2012
2011,72,Solar 2
2011,74,F.E.A.R. 3
2011,63,Puzzle Agent 2
2011,75,Tobe's Vertical Adventure
2011,60,IL-2 Sturmovik: Cliffs of Dover
2011,69,Runespell: Overture
2011,78,Tropico 4
2011,74,EDGE
2011,74,Space Pirates and Zombies
2011,57,Fallout New Vegas®: Lonesome Road™
2011,63,The Baconing
2011,74,"Warhammer 40,000: Space Marine"
2011,68,Men of War: Vietnam
2012,73,Hard Reset Extended Edition
2011,74,Rock of Ages
2011,76,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
2011,51,Call of Juarez®: The Cartel
2011,70,Sengoku
2011,78,Two Worlds II - Pirates of the Flying Fortress
2011,77,Might & Magic: Heroes VI
2011,81,Supreme Commander: Forged Alliance
2011,84,The Binding of Isaac
2011,60,Off-Road Drive
2007,86,Supreme Commander
2011,70,Fate of the World: Tipping Point
2011,55,Sniper: Ghost Warrior - Second Strike
2011,65,Air Conflicts: Secret Wars
2011,66,Dead Rising 2: Off the Record
2011,63,Disciples III - Resurrection
2011,79,The Sims™ 3 Pets
2011,64,Serious Sam: The Random Encounter
2011,70,Before the Echo
2011,57,Airline Tycoon 2
2011,51,The Haunted: Hells Reach
2011,72,DC Universe™ Online
2011,84,Saints Row: The Third Initiation Station
2011,77,Sonic Generations Collection
2011,83,L.A. Noire
2011,73,SkyDrift
